,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YLR048W,1,2.0,30.0
YLR057W,1,1.0,33.0
YLR072W,18,,7.0
YLR083C,1,3.0,17.0
YLR085C,7,91.0,328.0
YLR089C,4,22.0,71.0
YLR312W-A,31,,
YLR426W,1,30.0,161.0
YML060W,2,2.0,30.0
YML106W,4,5.0,43.0
YMR029C,9,3.0,38.0
YMR074C,1,2.0,30.0
YMR098C,1,,5.0
YMR113W,2,,
YMR154C,2,22.0,131.0
YMR170C,2,2.0,12.0
YMR323W,1,,
YNL022C,1,2.0,11.0
YNL112W,8,9.0,112.0
YNL239W,1,,33.0
YNL286W,2,5.0,19.0
YOL065C,2,8.0,25.0
YOL142W,12,,
YOL146W,9,,36.0
YOR009W,2,3.0,45.0
YOR052C,5,,28.0
YOR086C,6,3.0,39.0
YOR133W,4,3.0,12.0
YOR236W,4,25.0,121.0
YOR238W,1,,
YOR299W,6,1.0,19.0
YOR304C-A,12,9.0,17.0
YOR322C,3,2.0,65.0
YOR342C,2,,
YOR352W,5,4.0,25.0
YOR360C,76,30.0,201.0
YOR365C,1,6.0,42.0
YPL055C,53,48.0,268.0
YPL220W,15,4.0,18.0
YPL243W,10,3.0,37.0
YPR116W,8,,
YPR134W,2,1.0,48.0
YPR140W,6,8.0,12.0
YPR184W,3,1.0,1.0
YDR035W,1,,9.0
YFL045C,5,21.0,103.0
YGR214W,548,18.0,49.0
YHL011C,11,1.0,5.0
YKL029C,41,16.0,43.0
YLL018C,19,,1.0
YLL040C,15,8.0,122.0
YLR106C,11,3.0,61.0
YOL120C,40,,
YML117W,2,3.0,50.0
YGR281W,16,132.0,61.0
YML072C,11,123.0,108.0
YGR231C,7,65.0,76.0
YNR050C,3,,
YHR019C,25,39.0,94.0
YOL077C,46,18.0,65.0
YLR449W,22,1.0,40.0
YBR265W,1,11.0,71.0
YMR261C,3,19.0,25.0
YBR039W,3,3.0,43.0
YBR205W,13,1.0,19.0
YLR088W,6,9.0,91.0
YLR447C,12,1.0,7.0
YPL048W,5,7.0,28.0
YJL111W,6,12.0,70.0
YNL212W,8,2.0,11.0
YOR281C,7,3.0,25.0
YHR029C,1,5.0,19.0
YGL171W,7,,2.0
YPR112C,36,84.0,154.0
YDL066W,6,1.0,12.0
YPL166W,14,8.0,24.0
YIL094C,19,,
YPL266W,7,8.0,68.0
YKL045W,5,6.0,68.0
YDL018C,54,3.0,48.0
YNL055C,28,40.0,282.0
YJL052W,2,,12.0
YDL171C,7,8.0,56.0
YER103W,15,1.0,15.0
YKL039W,6,2.0,34.0
YPL061W,8,11.0,39.0
YDR041W,18,,
YPL013C,23,14.0,75.0
YGL128C,9,,8.0
YDR186C,2,13.0,122.0
YHL030W,136,5.0,40.0
YFR001W,47,1.0,16.0
YDR161W,6,3.0,95.0
YIL084C,9,72.0,221.0
YPL083C,1,4.0,91.0
YBR105C,159,3.0,96.0
YLR425W,4,125.0,233.0
YDL166C,34,,
YLR436C,3,1.0,12.0
YKL211C,10,2.0,24.0
YDL167C,5,7.0,25.0
YJR077C,12,9.0,23.0
YHL001W,2,4.0,31.0
YCR046C,22,81.0,146.0
YDR296W,47,,24.0
YNL192W,2,14.0,19.0
YNL249C,5,1.0,25.0
YLR139C,13,2.0,
YFL018C,5,35.0,249.0
YGR193C,2,3.0,21.0
YPR191W,14,7.0,74.0
YGL245W,3,77.0,170.0
YAL048C,6,4.0,40.0
YJL101C,5,9.0,120.0
YPR174C,11,4.0,34.0
YDR434W,5,45.0,244.0
YJL208C,13,3.0,48.0
YMR099C,6,6.0,32.0
YNL076W,9,1.0,9.0
YPL249C-A,4,,
YHR208W,10,11.0,64.0
YOR201C,1,31.0,78.0
YGL001C,2,14.0,55.0
YDR346C,6,1.0,17.0
YPL023C,2,3.0,36.0
YPL219W,6,23.0,47.0
YJL099W,10,7.0,107.0
YPL007C,10,1.0,51.0
YJL039C,31,,
YOL124C,1,7.0,23.0
YDR068W,1,,4.0
YBR086C,8,23.0,69.0
YHR179W,2,2.0,45.0
YFL022C,3,28.0,46.0
YOR187W,1,13.0,99.0
YLR172C,3,13.0,125.0
YDL033C,1,6.0,37.0
YPL128C,3,5.0,12.0
YCR095C,3,20.0,72.0
YPL210C,11,5.0,57.0
YML067C,14,7.0,52.0
YOR267C,57,10.0,37.0
YER178W,3,17.0,127.0
YML107C,1,37.0,61.0
YNL063W,2,,
YHR129C,5,16.0,97.0
YIL009C-A,3,4.0,39.0
YAL013W,11,95.0,378.0
YGL071W,12,15.0,118.0
YGL018C,1,1.0,22.0
YHR154W,44,116.0,190.0
YML036W,8,13.0,61.0
YGL183C,2,1.0,21.0
YPL176C,3,,14.0
YMR163C,2,4.0,32.0
YNL123W,1,,8.0
YFL025C,1,58.0,225.0
YMR058W,1,,17.0
YFL041W,6,1.0,30.0
YPR075C,7,10.0,42.0
YMR076C,274,35.0,99.0
YJL057C,60,1.0,54.0
YOR233W,35,2.0,86.0
YOR231W,32,9.0,45.0
YDL214C,41,1.0,3.0
YER123W,22,4.0,31.0
YGL059W,93,2.0,1.0
YKL171W,52,6.0,28.0
YDR466W,39,7.0,31.0
OK/SW-cl.81,1,,
YDL137W,2,5.0,42.0
ETG10291,2,,
YDR322C-A,1,7.0,34.0
RP11-247A12.4,2,,
YOL003C,7,2.0,42.0
YDR014W-A,2,,
YCL044C,2,11.0,88.0
YPR024W,9,179.0,160.0
YHR133C,4,,3.0
YOL027C,55,13.0,98.0
YPR125W,45,4.0,16.0
YOR073W,12,18.0,37.0
YBR201W,12,41.0,155.0
YGR148C,2,1.0,19.0
YIL019W,44,6.0,44.0
YBR070C,3,42.0,113.0
YGL047W,3,8.0,63.0
YGR085C,1,40.0,99.0
YHR181W,11,5.0,53.0
MIG1,2,,
YFL049W,10,7.0,65.0
YBL006C,5,6.0,108.0
YMR298W,5,12.0,42.0
YHL003C,4,13.0,42.0
YPR143W,31,8.0,84.0
YOR357C,12,5.0,37.0
YMR004W,5,10.0,87.0
YCR063W,21,,
YDR093W,1,5.0,49.0
YER166W,2,2.0,17.0
YLR361C,2,6.0,79.0
YDR096W,167,1.0,40.0
YLR276C,3,10.0,121.0
YPL125W,10,18.0,34.0
YIL030C,14,11.0,59.0
YDR059C,16,1.0,10.0
YLL009C,9,14.0,173.0
YAL056W,2,3.0,33.0
YGL089C,1,,
YLR378C,355,28.0,151.0
YHL033C,6,13.0,58.0
YKL143W,60,16.0,3.0
YNL178W,734,41.0,139.0
YGR268C,21,,11.0
YJL207C,3,,6.0
YDR411C,14,5.0,12.0
YML013W,23,21.0,114.0
Q0130,3,,
YLR228C,1,4.0,31.0
YOR034C,1,3.0,44.0
YIL003W,2,21.0,218.0
YMR119W,6,9.0,47.0
YBL057C,5,4.0,29.0
YHR001W,2,5.0,74.0
YPL132W,7,,15.0
YNL326C,3,,
YMR277W,18,171.0,336.0
YJL014W,61,35.0,114.0
YJR040W,1,3.0,49.0
YIR037W,16,,19.0
YKR031C,7,,9.0
YPL027W,1,,32.0
YOR166C,4,10.0,12.0
YBL033C,2,,
YBL068W,2,2.0,27.0
YBR137W,2,6.0,29.0
YBR239C,1,2.0,35.0
YBR246W,2,1.0,26.0
YCL019W,2,,
YCR036W,1,19.0,37.0
YDL121C,12,3.0,36.0
YDR020C,2,4.0,42.0
YDR034C,2,,8.0
YDR252W,9,1.0,40.0
YDR256C,5,2.0,13.0
YDR259C,7,3.0,19.0
YDR261W-A,2,,
YDR321W,3,,
YDR446W,5,1.0,17.0
YDR541C,1,,27.0
YEL017W,3,6.0,13.0
YEL041W,10,3.0,63.0
YEL048C,18,2.0,45.0
YEL062W,8,15.0,96.0
YEL066W,2,1.0,28.0
YER038C,4,21.0,134.0
YER099C,3,18.0,46.0
YER128W,2,3.0,20.0
YFR007W,1,1.0,36.0
YGL040C,1,6.0,43.0
YGL156W,4,1.0,12.0
YGL187C,124,7.0,94.0
YGR066C,6,,
YGR121C,3,4.0,54.0
YGR189C,1,,23.0
YGR196C,1,16.0,108.0
YGR247W,2,3.0,27.0
YHR009C,5,,8.0
YHR025W,2,2.0,7.0
YHR074W,1,23.0,137.0
YHR113W,4,,26.0
YIL053W,5,5.0,28.0
YIL092W,2,2.0,23.0
YIR016W,2,13.0,147.0
YJL153C,1,11.0,20.0
YJL218W,1,4.0,2.0
YJR008W,1,1.0,8.0
YJR010W,1,3.0,20.0
YJR055W,4,2.0,33.0
YJR056C,1,16.0,56.0
YKL043W,1,5.0,26.0
YKL050C,2,5.0,27.0
YKR100C,1,5.0,32.0
YLR030W,1,,7.0
YLR049C,1,,2.0
YLR108C,25,,3.0
YLR125W,1,1.0,14.0
YLR267W,2,3.0,46.0
YLR446W,2,,8.0
YLR453C,6,11.0,43.0
YML014W,3,18.0,69.0
YML042W,3,,5.0
YML125C,5,43.0,197.0
YMR316W,1,5.0,34.0
YNL152W,11,19.0,154.0
YNL159C,4,28.0,161.0
YNL331C,1,3.0,34.0
YNL333W,3,,11.0
YNL334C,4,2.0,51.0
YOL131W,1,3.0,21.0
YOR037W,7,1.0,71.0
YOR059C,3,6.0,25.0
YOR111W,2,1.0,3.0
YOR155C,2,,25.0
YOR167C,4,,17.0
YOR171C,1,8.0,83.0
YOR284W,3,3.0,6.0
YOR285W,2,3.0,16.0
YOR302W,1,,
YOR380W,1,5.0,65.0
YOR385W,3,1.0,16.0
YPL070W,40,,16.0
YPL077C,18,11.0,51.0
YPL088W,1,,8.0
YPL091W,1,1.0,28.0
YPL095C,3,1.0,48.0
YPL159C,4,1.0,102.0
YPR071W,1,,18.0
YPR083W,3,15.0,55.0
YPR106W,33,8.0,42.0
YPR148C,2,3.0,
YFR044C,3,3.0,12.0
YNL191W,2,1.0,12.0
YNL246W,11,14.0,34.0
YDR100W,7,4.0,23.0
YER145C,4,1.0,15.0
YOR219C,1,,
YJL151C,3,2.0,14.0
YER169W,5,13.0,88.0
YPL267W,6,,23.0
YBR005W,1,1.0,
YDR465C,4,3.0,19.0
YDR424C,10,2.0,36.0
YDL107W,2,4.0,134.0
YER044C-A,4,2.0,16.0
YLR201C,63,26.0,105.0
YDR495C,9,3.0,52.0
YHR205W,32,45.0,211.0
YLL043W,5,8.0,142.0
YPR124W,1,5.0,57.0
YCR017C,1,6.0,63.0
YKL082C,10,4.0,84.0
YMR143W,2,7.0,39.0
YDL083C,1,5.0,41.0
YGR112W,48,17.0,53.0
YIL157C,9,2.0,57.0
YBL060W,1,3.0,13.0
ETG9266,1,,
OK/SW-cl.43,1,,
YPR035W,5,4.0,90.0
YFR046C,37,25.0,52.0
YBL063W,4,2.0,11.0
YGL216W,16,11.0,115.0
YDR270W,1,3.0,34.0
YKL152C,3,,
YGR191W,1,,4.0
YIR019C,1,3.0,39.0
YMR289W,2,12.0,35.0
YLR021W,10,34.0,86.0
YMR017W,3,1.0,24.0
YJR122W,2,,
YPR067W,1,,
YOR094W,7,2.0,42.0
YOR216C,7,65.0,266.0
YGR271C-A,38,,
YLR018C,20,11.0,121.0
ETG2648,1,,
KL04P,2,,
YLR024C,14,37.0,137.0
YPL193W,10,,
YOL129W,5,7.0,61.0
RP3-422H11.1,1,,
OK/SW-cl.3,1,,
YDR160W,3,6.0,69.0
YLR431C,70,14.0,8.0
YJL178C,68,5.0,38.0
YKL062W,1,1.0,25.0
YGR029W,12,,8.0
YKR066C,38,3.0,8.0
YNL001W,9,2.0,63.0
ETG5886,1,,
ETG5504,1,,
YOR066W,4,,16.0
YIR011C,4,2.0,43.0
YGR094W,2,5.0,7.0
YJL097W,9,23.0,168.0
AT1G05055,1,,
YIL073C,37,4.0,33.0
ETG1786,2,,
ETG387,1,,
ETG5566,2,,
CELE_C07A9.3,1,,
YDR050C,4,1.0,39.0
YGR099W,17,159.0,253.0
ETG56424,1,,
YLL024C,59,,42.0
RP1-130E4.1,1,,
YNL142W,10,17.0,40.0
AT3G19210,1,,
YDR483W,2,3.0,31.0
ETG116549,1,,
YOR129C,2,3.0,37.0
YPL069C,1,60.0,210.0
YPR129W,63,12.0,59.0
ETG1457,11,,
YLR044C,2,4.0,51.0
YPR060C,1,7.0,82.0
YJR139C,1,26.0,156.0
YKR080W,1,,9.0
YFL017C,1,36.0,82.0
YOR143C,1,29.0,112.0
YPR037C,2,,21.0
YBR003W,1,3.0,23.0
YLR351C,1,6.0,14.0
YIR029W,2,9.0,63.0
YMR318C,2,4.0,32.0
YML079W,1,,7.0
YPL189C-A,1,1.0,24.0
ETG10403,1,,
ETG9569,1,,
ETG2969,1,,
Q0085,13,,
YAL012W,1,9.0,73.0
YAL044W-A,8,,14.0
YAL046C,19,3.0,41.0
YAL054C,1,8.0,21.0
YAL055W,2,7.0,77.0
YAR027W,3,1.0,11.0
YAR028W,2,13.0,18.0
YBL001C,1,3.0,20.0
YBL020W,4,129.0,387.0
YBL069W,1,6.0,24.0
YBL091C-A,5,5.0,23.0
YBL101C,2,1.0,32.0
YBR019C,1,2.0,18.0
YBR029C,2,9.0,118.0
YBR042C,5,4.0,21.0
YBR111C,7,3.0,20.0
YBR122C,1,,9.0
YBR153W,1,2.0,25.0
YBR162W-A,2,2.0,47.0
YBR241C,3,,12.0
YBR242W,2,,13.0
YBR243C,4,,
YBR252W,1,21.0,52.0
YBR261C,146,,
YCL021W-A,1,,
YCL033C,6,,9.0
YCR020C,1,13.0,28.0
YCR021C,2,5.0,72.0
YCR024C,2,12.0,116.0
YCR051W,3,,
YCR068W,4,7.0,34.0
YCR083W,26,6.0,18.0
YCR105W,7,,5.0
YDL045C,2,5.0,34.0
YDL057W,10,8.0,41.0
YDL072C,8,,6.0
YDL073W,3,5.0,48.0
YDL117W,15,6.0,67.0
YDL133C-A,1,,1.0
YDL144C,2,1.0,11.0
YDL157C,1,8.0,75.0
YDL184C,1,,8.0
YDL189W,16,,27.0
YDR107C,2,1.0,18.0
YDR116C,12,8.0,89.0
YDR222W,1,3.0,11.0
YDR239C,1,5.0,11.0
YDR242W,1,7.0,42.0
YDR284C,15,4.0,3.0
YDR304C,9,1.0,16.0
YDR374C,2,2.0,40.0
YDR399W,1,24.0,166.0
YDR418W,1,5.0,53.0
YDR441C,1,1.0,
YDR476C,5,,11.0
YDR513W,8,1.0,33.0
YDR518W,56,27.0,106.0
YDR520C,2,,21.0
YDR531W,1,11.0,120.0
YEL020C,1,4.0,127.0
YEL042W,4,19.0,124.0
YEL053C,2,4.0,35.0
YEL072W,1,1.0,17.0
YER010C,1,1.0,36.0
YER015W,20,1.0,7.0
YER024W,1,6.0,33.0
YER052C,1,21.0,122.0
YER056C-A,5,20.0,46.0
YER101C,2,15.0,86.0
YER134C,1,17.0,62.0
YER150W,2,,11.0
YER182W,4,,
YER184C,2,1.0,3.0
YFL047W,3,3.0,19.0
YGL026C,1,,
YGL036W,1,6.0,26.0
YGL037C,2,3.0,24.0
YGL065C,1,16.0,111.0
YGL068W,1,,
YGL104C,4,1.0,16.0
YGL141W,2,2.0,17.0
YGL247W,5,40.0,205.0
YGR027C,6,3.0,62.0
YGR028W,5,1.0,39.0
YGR038W,11,1.0,25.0
YGR088W,2,3.0,25.0
YGR149W,1,20.0,68.0
YGR203W,9,40.0,96.0
YGR205W,1,1.0,
YGR263C,1,7.0,27.0
YGR284C,19,8.0,145.0
YHL039W,5,3.0,16.0
YHR022C,4,,
YHR026W,3,,
YHR072W-A,3,3.0,75.0
YHR076W,80,3.0,9.0
YHR096C,3,,17.0
YHR106W,3,2.0,2.0
YHR112C,1,12.0,26.0
YHR123W,2,7.0,55.0
YHR140W,3,,15.0
YHR211W,4,,1.0
YIL018W,1,4.0,10.0
YIL085C,2,,15.0
YIL122W,6,,29.0
YIL124W,5,13.0,30.0
YIL152W,9,2.0,37.0
YIR017C,3,12.0,38.0
YIR036C,1,,
YJL077W-B,1,1.0,34.0
YJL083W,1,3.0,33.0
YJL117W,6,6.0,74.0
YJL121C,1,4.0,54.0
YJL134W,3,14.0,44.0
YJL145W,2,,
YJL185C,6,1.0,2.0
YJL189W,4,,2.0
YJR003C,16,,22.0
YJR013W,3,23.0,133.0
YJR039W,3,6.0,37.0
YJR044C,4,3.0,37.0
YJR057W,5,14.0,165.0
YJR073C,3,99.0,368.0
YJR101W,2,7.0,109.0
YJR118C,4,129.0,254.0
YKL019W,8,3.0,9.0
YKL032C,91,16.0,110.0
YKL040C,10,25.0,127.0
YKL063C,1,1.0,11.0
YKL071W,4,,
YKL098W,1,17.0,100.0
YKL132C,2,15.0,54.0
YKL168C,20,4.0,46.0
YKL192C,13,,
YKL218C,1,8.0,84.0
YKR043C,1,3.0,20.0
YKR097W,4,12.0,33.0
YLL014W,4,9.0,86.0
YLL045C,5,14.0,57.0
YLR031W,11,4.0,12.0
YLR036C,2,,13.0
YLR114C,1,23.0,99.0
YLR157C,1,9.0,28.0
YLR173W,1,2.0,28.0
YLR177W,5,,8.0
YLR219W,1,,
YLR227C,4,22.0,50.0
YLR244C,4,,
YLR257W,1,,
YLR297W,3,1.0,23.0
YLR350W,27,46.0,326.0
YLR389C,2,,3.0
YLR439W,26,,11.0
YML018C,1,1.0,21.0
YML028W,26,20.0,105.0
YML035C,3,7.0,26.0
YML038C,14,11.0,35.0
YML082W,1,,10.0
YML110C,7,17.0,145.0
YMR024W,3,,
YMR060C,9,16.0,66.0
YMR087W,1,3.0,2.0
YMR111C,8,1.0,42.0
YMR121C,3,6.0,45.0
YMR233W,1,,4.0
YNL029C,1,1.0,13.0
YNL040W,1,1.0,46.0
YNL042W,1,,7.0
YNL111C,4,8.0,39.0
YNL149C,2,71.0,155.0
YNL181W,4,358.0,713.0
YNL204C,2,3.0,27.0
YNL217W,9,8.0,23.0
YNL219C,5,24.0,224.0
YNL277W,1,,18.0
YNL316C,1,9.0,38.0
YNR027W,2,,10.0
YNR030W,3,6.0,42.0
YNR064C,1,2.0,13.0
YNR067C,1,1.0,16.0
YNR075W,3,1.0,6.0
YOL089C,1,6.0,51.0
YOL143C,1,,
YOR028C,1,7.0,44.0
YOR192C-A,4,,
YOR223W,5,,
YOR258W,1,,
YOR283W,1,,8.0
YOR288C,2,,4.0
YOR377W,1,1.0,1.0
YPL034W,1,2.0,42.0
YPL053C,4,2.0,35.0
YPL100W,4,17.0,53.0
YPL108W,3,,8.0
YPL173W,8,10.0,55.0
YPL280W,1,24.0,124.0
YPR085C,2,150.0,257.0
YPR113W,12,2.0,5.0
YPR153W,2,1.0,27.0
YPR158W,1,,6.0
YPR159C-A,8,6.0,103.0
PRED28,2,,
YLR437C,2,,6.0
YGR133W,2,7.0,73.0
AT3G52590,1,,
ETG24413,4,,
YOL104C,10,3.0,9.0
YPL200W,3,,
YER159C,3,72.0,230.0
YBL030C,37,21.0,17.0
ETG10565,1,,
ETG10564,1,,
YGL031C,17,5.0,65.0
YJR034W,3,2.0,58.0
YDR188W,48,78.0,194.0
YNL242W,22,15.0,125.0
RP11-269C23.2,2,,
YAR009C,2,,
YAR015W,1,2.0,9.0
YDL229W,461,2.0,46.0
YOL039W,6,3.0,29.0
YBR026C,1,7.0,78.0
YJL008C,3,82.0,251.0
YGR192C,7,5.0,49.0
YMR176W,9,6.0,29.0
YLR189C,5,5.0,4.0
YDR258C,19,,18.0
YDR338C,1,,10.0
YLR380W,1,1.0,7.0
YDR450W,535,19.0,68.0
YEL025C,2,1.0,13.0
YEL071W,4,,16.0
YGL202W,2,3.0,12.0
YER132C,2,,12.0
YGL064C,28,4.0,23.0
YDR505C,1,3.0,13.0
YHR168W,1,13.0,44.0
YFL052W,1,17.0,44.0
YJR137C,2,10.0,46.0
YGL076C,7,,
YLL029W,1,3.0,56.0
YIR002C,63,7.0,72.0
YPL137C,5,2.0,14.0
YLR195C,1,13.0,115.0
YLR209C,3,37.0,56.0
YPR031W,5,19.0,70.0
YPR163C,3,3.0,4.0
YHL009C,1,,14.0
YHR080C,33,,2.0
YMR066W,3,1.0,3.0
YHR174W,4,10.0,58.0
YHR203C,1,5.0,30.0
YIL041W,2,3.0,61.0
YIR039C,1,4.0,43.0
YML026C,1,3.0,24.0
YJR105W,1,12.0,62.0
YKL033W,1,370.0,252.0
YKL060C,4,4.0,14.0
YPL104W,3,4.0,20.0
YMR165C,4,33.0,105.0
YKR056W,1,9.0,61.0
YKR088C,1,4.0,49.0
YLL035W,5,28.0,101.0
YML004C,1,3.0,17.0
YML048W,4,19.0,110.0
YML070W,2,6.0,32.0
YML096W,1,,18.0
YPL165C,1,,28.0
YMR179W,214,52.0,122.0
YMR242C,5,30.0,21.0
YMR285C,1,3.0,55.0
YOL023W,1,62.0,151.0
YOL056W,1,16.0,21.0
YOL080C,1,4.0,33.0
YOL151W,2,1.0,14.0
YOR355W,1,7.0,41.0
YPL064C,1,4.0,12.0
YPL198W,6,1.0,15.0
YPR026W,1,2.0,10.0
YPR089W,1,1.0,22.0
YJR064W,1,7.0,112.0
AT4G16360,1,,
AT5G21170,1,,
YPR167C,1,5.0,26.0
AT3G01090,1,,
AT3G29160,1,,
YIL133C,193,3.0,39.0
YNL069C,14,3.0,38.0
YOR031W,3,15.0,101.0
YBL081W,1,2.0,25.0
YMR070W,2,20.0,106.0
YBR016W,1,,5.0
YPR042C,3,2.0,2.0
YOR197W,155,3.0,16.0
YPR022C,1,7.0,19.0
YFL010C,1,2.0,34.0
YGL215W,8,4.0,79.0
YKR016W,240,4.0,82.0
YDR194C,1,6.0,26.0
ETG1111,1,,
YHL023C,7,10.0,96.0
YJL167W,5,1.0,16.0
YIL146C,6,7.0,32.0
AT1G27310,1,,
AT1G27970,1,,
YNL119W,6,2.0,59.0
YGL211W,4,7.0,129.0
YOL122C,1,4.0,11.0
YGR055W,4,5.0,53.0
YNL014W,2,,9.0
RP11-27I1.5,4,,
YJR134C,5,9.0,25.0
YGR241C,21,,9.0
YDR459C,1,1.0,11.0
YDR481C,3,2.0,10.0
YLR073C,2,1.0,4.0
YOL071W,1,3.0,22.0
ETG1452,2,,
YCR094W,2,93.0,289.0
YJR025C,2,4.0,22.0
YDL224C,1,7.0,12.0
ETG10923,1,,
YBR295W,2,2.0,18.0
YOR165W,3,12.0,50.0
ETG6252,1,,
YJL088W,1,,
YPL005W,2,4.0,28.0
YKR028W,1,22.0,52.0
YBL080C,2,14.0,36.0
ETG3622,3,,
YCL057W,2,,
YPL052W,1,,3.0
b2592,27,,
YKL086W,3,2.0,32.0
YJR048W,4,9.0,56.0
YNL036W,1,4.0,60.0
RP5-875J14.1,2,,
Q0045,16,,
YPL172C,1,23.0,167.0
YMR212C,1,,
YNL054W,1,77.0,269.0
YER051W,2,,2.0
YHR199C-A,3,5.0,43.0
ETG4292,5,,
YDR014W,4,12.0,101.0
ETG396422,1,,
YDL123W,4,,9.0
YOL086C,2,1.0,7.0
YLR303W,1,1.0,32.0
YLR259C,4,17.0,207.0
YKR065C,3,15.0,63.0
YJL198W,5,7.0,21.0
HSPC075,2,,
YLR133W,2,8.0,52.0
YBR172C,17,,10.0
YBL018C,3,19.0,3.0
YGL119W,28,18.0,65.0
YOR084W,1,1.0,19.0
YDR329C,3,4.0,45.0
YLR323C,3,42.0,284.0
YMR115W,3,7.0,66.0
YDL010W,1,,10.0
YBR014C,1,2.0,13.0
ETG131118,1,,
YHR065C,4,,1.0
YCR089W,1,1.0,12.0
YPL017C,4,2.0,81.0
YNL024C-A,1,,
YDR367W,7,1.0,4.0
YDL191W,5,,
YDL136W,1,2.0,23.0
YDL217C,2,53.0,228.0
YGR171C,1,3.0,1.0
