Chromosome,verified genes,dubious genes,uncharacterized genes,ARS,ltr,ncRNA,snoRNA,tRNA,rRNA,snRNA,Retrotransposon,Total Features,Chr length,geneLen,median_IUPRED,number of physical interaction,number of positive genetic interaction,"Number of interactor, sgd",number of negative genetic interaction,"number of ppi, score > 0.5","number of ppi, score > 0.8","number of ppi, score >= 0.95","number of ppi, score >= 0.25","number of ppi, all",RNAseq Eupl,MS mean,log2(MS),Imputed log2(MS),protein_synthesis_rate,real_protein_synthesis_rate,Ribo_profilling_init_rate,Ribo_profilling_ribo_num,Ribo_profilling_trans_rate,Ribo_profilling_trans_time,Ribo_profilling_delay_time,IDR ratio,protein half-life (hr),mRNA half-life (min),is in complex,is essential,gene number,Chr length kb
1,250.97727272727272,57.917832167832174,51.48251748251748,35.394230769230774,38.61188811188811,3.2176573426573425,3.2176573426573425,12.87062937062937,0.0,0.0,6.435314685314685,143.0,239671,468256.0201048951,75.41416573426574,5894.748251748252,2448.637237762238,29367.558566433567,13806.967657342657,3893.3653846153848,2162.2657342657344,817.284965034965,9051.270104895104,14405.451923076922,1188.8141370265812,1107002276478.409,4936.500037113478,9432.037733064315,1315831.8659786866,127.22383301778024,43.97894055944056,2288.0825716783215,22.66839597902098,37246.27572377622,2372.4398942307694,47.023298170344034,1520.6648601398604,8842.122377622378,119.05332167832168,41.82954545454545,360.3776223776224,239.671
2,334.6363636363636,39.040909090909096,32.53409090909091,21.379545454545454,14.872727272727273,1.8590909090909091,1.8590909090909091,12.084090909090909,0.0,0.9295454545454546,0.9295454545454546,495.0,790641,543747.8386363636,92.82928920454546,7324.818181818182,3697.7318181818187,26611.956818181818,19284.35,7134.261363636364,4367.004545454545,1752.1931818181818,18739.636363636364,25339.409090909092,1761.2325201647113,891576747940.1515,6871.065168353276,10888.096250260174,1838278.823043927,177.73766092000864,46.83607727272728,2618.132629545454,29.55861590909091,41645.52891818182,1959.645418181818,60.001917360369994,39370.89772727273,11913.054545454544,108.75681818181818,69.7159090909091,406.21136363636367,790.641
3,278.98981900452486,35.394230769230774,45.80429864253394,35.394230769230774,31.2302036199095,0.0,8.328054298642535,20.820135746606333,0.0,0.0,4.164027149321267,221.0,312008,435973.64253393665,77.88323509615384,5840.048076923076,3327.0576923076924,19606.321832579186,11650.947963800905,5017.652714932126,2956.4592760180994,1436.5893665158371,12943.878393665158,17241.154411764706,1385.55496574602,1019085863246.6063,5552.172993120752,9516.980394592843,3206183.013773055,309.9962106977223,38.994032239819006,1902.500282239819,22.31293947963801,32307.653972850676,1435.681608597285,46.467881036797614,23229.025452488688,9063.005090497738,95.77262443438914,31.2302036199095,360.1883484162896,312.008
4,345.6027378318584,37.15611172566372,31.04825774336283,22.395464601769913,6.107853982300885,0.0,2.0359513274336285,14.251659292035399,0.0,0.0,1.5269634955752212,904.0,1482091,560578.8384955752,102.87407563606195,8400.84416482301,4627.717367256638,28256.45948561947,22317.589463495577,7467.36048119469,4393.58296460177,1875.62016039823,16958.965569690266,23690.329646017697,1788.8198193782835,740712054929.9296,7513.17733270666,11165.903925380791,2130881.0973878624,206.02849643953573,52.9866512721239,2664.617468196903,30.68840334623894,44340.80377848451,1900.3951431139383,72.49615604343622,17751.205129977876,11564.712527654867,121.1391039823009,90.09084623893806,413.8071073008849,1482.091
5,271.7444117647059,55.214999999999996,35.72735294117647,25.983529411764707,36.81,3.2479411764705883,5.413235294117647,21.652941176470588,0.0,1.0826470588235293,3.2479411764705883,425.0,567805,486811.1673529412,84.69336824999999,4523.299411764706,4430.191764705883,17437.113529411767,19173.679411764708,5687.1449999999995,3575.9832352941175,1501.6314705882353,11271.438529411764,16491.962647058823,1402.134742093503,549071669018.3824,5635.5276088138,9668.633584395464,1671204.9420294196,161.58378891751494,35.347343823529414,1939.4041394117648,22.135801764705885,35678.262475588235,1514.332003235294,59.23221084779094,45216.32135294118,8630.862352941176,71.45470588235294,48.71911764705882,362.68676470588235,567.805
6,274.952743902439,22.445121951219512,36.47332317073171,39.27896341463415,39.27896341463415,11.222560975609756,0.0,30.86204268292683,0.0,0.0,5.611280487804878,164.0,299359,484191.7820121951,90.48105617378049,7850.181402439025,4463.773628048781,24375.40243902439,22313.256859756097,5827.314786585365,3319.0724085365855,1470.155487804878,15018.592225609756,20621.45579268293,1403.9327029052658,627084948404.7257,5898.612190140522,9084.008654621497,1588920.1301637117,153.62791747575147,63.051153201219506,2237.441981707317,24.34454039634146,37879.111660060975,1523.788106707317,67.09513603730855,1950.7616615853658,10686.68368902439,95.39176829268293,78.5579268292683,333.8711890243902,299.359
7,302.6106178977273,26.79705255681818,33.332919034090914,18.954012784090907,45.751065340909086,1.3071732954545454,3.9215198863636362,24.182705965909093,0.0,1.3071732954545454,1.9607599431818181,704.0,1071065,493987.97780539776,83.77810903764204,6273.778231534091,3668.5818536931815,24773.548295454548,19071.00479403409,7119.519353693182,4175.111505681818,1547.693181818182,16823.3203125,22512.79208096591,1597.3315698517542,1280208153734.2063,6586.500758365996,9838.158685190414,3961346.3960018167,383.01069113847035,43.16678373579546,2253.7229685724433,24.953284623579545,35641.07465944602,1650.1892935014203,55.94281949741176,62382.03510298296,10153.468572443182,105.88103693181817,71.89453125,362.7405894886364,1071.065
8,313.84248554913296,31.916184971098264,47.8742774566474,19.947615606936417,25.26697976878613,2.6596820809248554,2.6596820809248554,14.628251445086704,0.0,0.0,1.3298410404624277,346.0,534968,512394.40209537576,87.57083041907515,6989.644508670521,3594.560332369942,22697.726878612717,16807.860910404623,6814.105491329479,4079.952312138728,1680.9190751445087,14845.015534682083,20677.698338150287,1690.818442783486,1311494516986.2356,6564.549557594505,10549.17700687468,4787564.311695014,462.89522111545745,75.55092919075145,2453.9955671965317,28.337582731213875,40520.265811777455,2006.1117539739887,56.36701358792212,28932.686596820808,9812.897037572255,89.09934971098265,51.863800578034684,393.6329479768786,534.968
9,309.0391791044776,42.92210820895523,48.07276119402985,27.470149253731343,10.301305970149253,3.433768656716418,1.716884328358209,17.16884328358209,0.0,0.0,0.0,268.0,430085,527262.0447761194,90.92902688899252,6901.875,2767.617537313433,19156.995335820895,15390.151119402986,5475.144123134329,3365.0932835820895,1002.6604477611941,12625.967350746268,17731.981343283584,1532.175459587353,418115106142.86383,6164.583314353221,10610.484732502347,1399455.176747398,135.3091199003253,36.269181436567166,2163.066510727612,23.979723414179105,35704.0535079291,1703.757030783582,61.16032862546746,1775.9451492537316,10782.033582089553,89.27798507462687,65.24160447761194,400.03404850746267,430.085
10,321.6803097345133,29.521294247787612,38.683075221238944,23.413440265486727,15.269634955752213,1.0179756637168142,5.089878318584071,24.43141592920354,0.0,0.0,1.0179756637168142,452.0,721726,546100.1706305309,84.2330579784292,7267.328263274336,4691.8498340707965,20777.901272123894,19732.440265486726,6035.577710176991,3700.34153761062,1667.4441371681417,13907.583517699115,20155.91814159292,1634.7749294376704,852847442523.6172,6613.888711979238,10394.594712551618,1123849.356170734,108.6616204725058,41.16184596238938,2283.3560608407083,25.39238495575221,41070.77684153761,1629.324002488938,51.49586863600747,32619.299585176992,10681.618639380531,104.85149336283186,74.31222345132744,389.88467920353986,721.726
11,353.20300261096605,26.430156657963447,21.62467362924282,20.423302872062663,12.013707571801566,0.0,6.006853785900783,19.221932114882506,0.0,0.0,1.2013707571801566,383.0,669333,575245.1514360313,101.83659497389033,6495.811684073107,4877.565274151436,21713.57506527415,18909.575718015665,6387.688315926893,3902.0522193211486,1393.5900783289817,15030.34954308094,20759.686684073105,1825.1611052160233,1068807591063.887,7747.096370496876,10907.751449592457,4525396.013096898,437.5469553485439,40.92469484334203,2535.4473309399477,27.45372454308094,45280.149191906006,1965.5446752610965,72.2385623438902,50996.74699738904,11754.211488250652,104.51925587467363,85.29732375979113,401.25783289817235,669.333
12,321.93810876623377,36.60085227272727,34.35998376623377,20.914772727272727,17.926948051948052,0.0,5.228693181818182,15.686079545454545,5.975649350649351,0.7469561688311689,0.7469561688311689,616.0,1005854,554930.9178165585,89.32008497362013,6801.782873376623,4584.0700081168825,24093.07122564935,20294.05215097403,7724.2737418831175,4968.005478896103,1877.8478084415585,17532.555194805194,23588.12885551948,1770.0739848167018,1795919246711.3232,7014.643549572359,10646.606502493518,3112489.453035698,300.93726157641885,73.07696286525973,2270.1095996347403,26.251027597402597,42045.731002840905,1690.207190137987,58.16412843119373,39662.25213068182,9820.979707792207,109.80255681818183,77.68344155844156,392.89894480519484,1005.854
13,327.12657091561937,26.43447037701975,42.129937163375224,19.825852782764812,14.043312387791742,2.4782315978456015,10.739003590664273,17.34762118491921,0.0,0.0,0.0,557.0,915334,549218.2520197487,95.95774702648114,6472.3148563734285,5381.066876122082,21326.835053859962,19611.072710951525,6606.139362657092,3978.387791741472,1690.1539497307003,14585.219030520646,21107.924596050267,1783.6383193141155,752948579022.8456,7261.962270200188,10712.145650127879,1316880.5493520338,127.3252270650203,38.704195017953325,2443.4950516157987,25.919824281867143,43117.7396263465,1810.3349649910233,64.4765500747447,43972.998002693,10947.175044883303,116.47688509874325,61.12971274685816,395.69097845601436,915.334
14,340.612012987013,33.86201298701299,36.84983766233766,19.91883116883117,8.963474025974026,0.0,4.979707792207792,13.943181818181818,0.0,0.9959415584415584,0.0,462.0,731293,565281.489448052,103.5290213474026,11490.17775974026,6333.19237012987,28547.66883116883,26533.875,7620.944805194806,4452.854707792208,1613.4253246753246,18297.43831168831,25173.41883116883,1811.0434602543512,707909977299.4319,8055.864380339442,11186.707883401625,1011938.5617511957,97.84130171428154,55.12237743506494,2597.7591842532465,29.165152597402592,43839.819628246754,1804.3771996753246,72.38524511754956,32177.875811688315,11213.306006493505,116.52516233766232,81.6672077922078,411.3238636363636,731.293
15,336.8143185298622,36.64088820826952,32.41309341500766,14.092649310872895,16.911179173047476,0.0,7.750957120980092,14.092649310872895,0.0,0.0,1.4092649310872896,653.0,1071422,540692.6761102604,95.02687522970903,7825.648162327718,4914.811447166922,23791.21056661562,20163.058001531394,6824.365428790199,4214.406776416539,1677.0252679938744,17321.275267993875,23387.45616385911,1682.2732499714743,885141330731.0778,6998.293188734114,10870.45355890161,1716628.9233257885,165.9756973070823,62.336720329249616,2519.569104326187,27.504623660030624,43143.407825995404,2003.1947038667686,61.88634904464295,44578.361542879014,11026.088820826952,91.60222052067381,71.87251148545177,405.86830015313933,1071.422
16,332.3574253075571,33.154876977152895,38.81546572934974,23.451010544815464,12.129833040421794,0.8086555360281195,4.851933216168717,13.747144112478031,0.0,0.0,0.8086555360281195,569.0,918474,541005.1094024605,94.67686453207382,8425.382029876977,3913.0841388400704,25697.45562390158,19508.814806678383,7802.7172671353255,4699.097319859403,1917.3222759226712,16387.40443760984,22995.737478031635,1700.3333656954348,825329715811.4236,6699.362779985587,10842.495208315304,1352256.5103984778,130.74562254059947,43.360109841827764,2411.195706063269,26.616896968365552,42631.24192157294,1695.1465933655536,58.14361537336344,10264.911643233743,11658.3868629174,117.25505272407733,80.86555360281196,404.32776801405976,918.474
